建案名稱,總價,格局/地坪,建坪,位置,網站
澄品觀邸～全新未住,None,位址:,社區,台南市東區長榮路一段,https://tainan.housetube.tw/23538
明興天下,None,未提供,位址:,明興路跟萬年路口(7-11旁),https://tainan.housetube.tw/23525
藏鑽NO.3,None,65~71,中正南路一段76巷26號,中正南路一段76巷26號,https://tainan.housetube.tw/23514
大心,None,57起,永二街,永二街,https://tainan.housetube.tw/23505
双生觀,None,143起,建平3街65巷32號,建平3街65巷32號,https://tainan.housetube.tw/23503
植村NY,None,26.5~67,LM陽光大道目加溜灣大道,LM陽光大道目加溜灣大道,https://tainan.housetube.tw/23495
富凰喜悅,None,27起,位址:,台南市北區大港街37號,https://tainan.housetube.tw/23478
北揚優學NO.5,None,26~37,位址:,文賢街,https://tainan.housetube.tw/23477
首創ART,None,56~69,本淵路69號,本淵路69號,https://tainan.housetube.tw/23454
MOMA 7,None,位址:,社區,東成街111巷,https://tainan.housetube.tw/23453
新營NO.1,None,未提供,未提供,未提供,https://tainan.housetube.tw/23450
安平灣,None,166起,州平一街33號,州平一街33號,https://tainan.housetube.tw/23443
三代大宅,None,未提供,未提供,未提供,https://tainan.housetube.tw/23382
LM藏金,None,20~63,台南市善化區龍目井路,台南市善化區龍目井路,https://tainan.housetube.tw/23366
北揚上邑NO.16,None,59~81,怡安路1段329號,怡安路1段329號,https://tainan.housetube.tw/23444
藏富金店,None,未提供,位址:,中華南路二段188號,https://tainan.housetube.tw/23332
臻藏,None,未提供,正新南路,正新南路,https://tainan.housetube.tw/23331
美麗家園3,None,30~35,位址:,玉井區中山路107-1號,https://tainan.housetube.tw/23330
白禾方,None,未提供,十全街180號,十全街180號,https://tainan.housetube.tw/23329
皇邑NO.12,None,未提供,位址:,利南街85-1號,https://tainan.housetube.tw/23287
星展首相,None,41.7起,位址:,台南市安平區健康二街28號,https://tainan.housetube.tw/23283
京采,None,未提供,建平五街22巷15弄10-5號,建平五街22巷15弄10-5號,https://tainan.housetube.tw/23282
天下5,None,151起,永吉街,永吉街,https://tainan.housetube.tw/23281
宇宙２號,None,未提供,位址:,中山西路。近市場。代天院,https://tainan.housetube.tw/23280
上乘NO.3,None,未提供,健康三街482巷33號,健康三街482巷33號,https://tainan.housetube.tw/23279
寓莊囍園No.6,None,52起,營頂里103-79,營頂里103-79,https://tainan.housetube.tw/23266
雙禧園17,None,125~137,國光三街62巷16號,國光三街62巷16號,https://tainan.housetube.tw/20722
雙禧園17,None,125~137,崑山街183巷&崑山街219巷,崑山街183巷&崑山街219巷,https://tainan.housetube.tw/23262
尚邑 PARK VILLA,None,未提供,育德一街87巷17號,育德一街87巷17號,https://tainan.housetube.tw/23260
一品居,None,133.6起,崇德11街50號,崇德11街50號,https://tainan.housetube.tw/23236
磐石,None,119起,崇善十三街5號.7號,崇善十三街5號.7號,https://tainan.housetube.tw/23228
薪厝,None,60.5~72,六甲區興東街160號,六甲區興東街160號,https://tainan.housetube.tw/23223
茂生新天地NO.6,None,未提供,位址:,安定保安宮對面,https://tainan.housetube.tw/23216
薪厝2,None,64起,胡厝寮 陽明國小旁,胡厝寮 陽明國小旁,https://tainan.housetube.tw/23215
世紀御景,None,56.1~68,玉井區和平街文友肥料行隔壁,玉井區和平街文友肥料行隔壁,https://tainan.housetube.tw/23212
富貴居,None,53~87,未提供,未提供,https://tainan.housetube.tw/23210
南科彩繪村,None,58~113.9,善化區胡厝寮208號,善化區胡厝寮208號,https://tainan.housetube.tw/23200
安中大道,None,27起,位址:,台南市安南區安中路三段,https://tainan.housetube.tw/23152
百阜囍樂5,None,未提供,台南市永康區蔦松二街103號,台南市永康區蔦松二街103號,https://tainan.housetube.tw/23144
SUPER旺家園,None,46~57,六甲中華路248巷對面(文成車坊旁),六甲中華路248巷對面(文成車坊旁),https://tainan.housetube.tw/23091
臻園,None,55起,台南市東區東成街,台南市東區東成街,https://tainan.housetube.tw/23088
秀水楓華II,None,84起,德興路274巷70弄16號,德興路274巷70弄16號,https://tainan.housetube.tw/23082
聚盛NO.7,None,56~63,同安路347巷96弄18號,同安路347巷96弄18號,https://tainan.housetube.tw/23077
微風鎮,None,67~121,台南市東區裕平一街135號,台南市東區裕平一街135號,https://tainan.housetube.tw/23068
知築藏樂II,None,159起,建平12街59-20號,建平12街59-20號,https://tainan.housetube.tw/23050
心滿逸築,None,73起,民安路一段,民安路一段,https://tainan.housetube.tw/23044
東道主,None,152起,崇善一街137號,崇善一街137號,https://tainan.housetube.tw/23032
上璞園,None,54~74,台南市永康區埔園街176巷1號,台南市永康區埔園街176巷1號,https://tainan.housetube.tw/23031
囍悅,None,57起,文化西路(福南山莊旁),文化西路(福南山莊旁),https://tainan.housetube.tw/23026
見森鄰2,None,160起,西門路4段70巷9號,西門路4段70巷9號,https://tainan.housetube.tw/23021
The  Villa 2,None,82~101,崇善11街54巷、崇善12街,崇善11街54巷、崇善12街,https://tainan.housetube.tw/23016
富康鄉墅2,None,53.7起,蘇厝237-3號,蘇厝237-3號,https://tainan.housetube.tw/23015
開元錄,None,105起,長榮.開元路口,長榮.開元路口,https://tainan.housetube.tw/23014
新市首富,None,63起,復興路,復興路,https://tainan.housetube.tw/23011
青普森,None,55~63,港口里港口309號,港口里港口309號,https://tainan.housetube.tw/23010
藏鑽,None,69~98,中榮里、港口全家旁,中榮里、港口全家旁,https://tainan.housetube.tw/23009
善居一期,None,未提供,仁義三街92巷16號,仁義三街92巷16號,https://tainan.housetube.tw/23008
民生藏富,None,27,位址:,善化區民生路,https://tainan.housetube.tw/23007
創兆恬品,None,43~101,未提供,未提供,https://tainan.housetube.tw/23004
德和大邁2,None,95~97,崑山街143巷23號,崑山街143巷23號,https://tainan.housetube.tw/23000
靜岡5,None,70起,總安街1段167號,總安街1段167號,https://tainan.housetube.tw/22994
月畔灣,None,117.5,光州四街65號,光州四街65號,https://tainan.housetube.tw/22983
高第V CASA,None,位址:,社區,大智路36號旁,https://tainan.housetube.tw/22970
大宅門,None,220~230,台南市東區文化五街,台南市東區文化五街,https://tainan.housetube.tw/22966
六甲奇蹟3,None,31.7~60,位址:,曾文街,https://tainan.housetube.tw/22950
清禾田,None,53~86,萬年五街‧萬年七街,萬年五街‧萬年七街,https://tainan.housetube.tw/22949
雅柏,None,51起,功學路5段,功學路5段,https://tainan.housetube.tw/22948
安南双子星,None,53.7起,頂安街330巷45弄5.7號,頂安街330巷45弄5.7號,https://tainan.housetube.tw/22943
吉祥如意2,None,46~62,港南里港口51-2,港南里港口51-2,https://tainan.housetube.tw/22926
普羅旺斯,None,未提供,善化區中山路242號(農會對面),善化區中山路242號(農會對面),https://tainan.housetube.tw/22923
富首世紀,None,未提供,北安路二段147巷26號,北安路二段147巷26號,https://tainan.housetube.tw/22920
御璽名邸5,None,24.8~65.6,位址:,北興路62～72號,https://tainan.housetube.tw/22892
賢居,None,未提供,萬年五街40巷15號,萬年五街40巷15號,https://tainan.housetube.tw/22879
春天別墅NO.2,None,56.7起,香洋路76巷1弄,香洋路76巷1弄,https://tainan.housetube.tw/22878
花漾年華,None,48.5~49,公塭里安興街,公塭里安興街,https://tainan.housetube.tw/22877
双峰會,None,89.8起,海中街138巷,海中街138巷,https://tainan.housetube.tw/22876
佳里原墅,None,56起,台南市佳里區番子寮122-13號,台南市佳里區番子寮122-13號,https://tainan.housetube.tw/22871
松園,None,98.5起,安中路3段400巷130號,安中路3段400巷130號,https://tainan.housetube.tw/22869
達億大境,None,44.5~68.3,台南市南區金華路一段484巷161號,台南市南區金華路一段484巷161號,https://tainan.housetube.tw/22863
千鼎苑NO.2,None,200起,建平一街271號,建平一街271號,https://tainan.housetube.tw/22860
安吉錄,None,82~110,本原街二段,本原街二段,https://tainan.housetube.tw/22834
黃金印象2,None,未提供,東學路148巷,東學路148巷,https://tainan.housetube.tw/22831
喆學家,None,83,台南市永康區龍國街222號,台南市永康區龍國街222號,https://tainan.housetube.tw/22829
水悦灣,None,64~94,國平西路/國平北路,國平西路/國平北路,https://tainan.housetube.tw/22828
花田囍事,None,60起,港口安定牙醫旁,港口安定牙醫旁,https://tainan.housetube.tw/22799
大港口,None,56~60,港口村 港口大廟旁277-5號,港口村 港口大廟旁277-5號,https://tainan.housetube.tw/22794
大謙2,None,64,位址:,永華路二段1250號,https://tainan.housetube.tw/22770
領袖15,None,未提供,金華路。民生路口,金華路。民生路口,https://tainan.housetube.tw/22769
美墅館7期／楓華,None,61起,未提供,未提供,https://tainan.housetube.tw/22731
吾居樹NO.5,None,220起,永華3街53號,永華3街53號,https://tainan.housetube.tw/22727
紅立方,None,未提供,位址:,未提供,https://tainan.housetube.tw/22715
旺第人和3,None,187.7起,健康路三段36號,健康路三段36號,https://tainan.housetube.tw/22713
樂邑LaVie,None,位址:,社區,大安街與永大路口,https://tainan.housetube.tw/22707
靜巷暖陽,None,未提供,文成一路158巷28號,文成一路158巷28號,https://tainan.housetube.tw/22685
永成鎮,None,24~35,位址:,台南市南區永成路三段250號,https://tainan.housetube.tw/22684
日光行舘5期,None,119~198,許中營75-36號,許中營75-36號,https://tainan.housetube.tw/22682
興富御,None,70.7~79.5,環福路125巷3號,環福路125巷3號,https://tainan.housetube.tw/22679
旺達歐旺,None,44起,將軍區西華58-16號旁,將軍區西華58-16號旁,https://tainan.housetube.tw/22635
圓滿2,None,72~82,仁安八街88號,仁安八街88號,https://tainan.housetube.tw/22632
快樂頌,None,未提供,公學路四段396號,公學路四段396號,https://tainan.housetube.tw/22540
自在宅,None,78起,安和路一段轉安通路三段,安和路一段轉安通路三段,https://tainan.housetube.tw/22539
上上謙,None,23~47,位址:,總安街二段345號,https://tainan.housetube.tw/22538
璽硯3,None,158起,裕孝3街92號,裕孝3街92號,https://tainan.housetube.tw/22517
北歐F one,None,未提供,台南市歸仁區和順路二段240巷91號,台南市歸仁區和順路二段240巷91號,https://tainan.housetube.tw/22473
好御兆2,None,26.1~41.6,位址:,土庫三街6號,https://tainan.housetube.tw/22461
歐香堡35期,None,27~32,位址:,善化區公所旁,https://tainan.housetube.tw/22460
御墅臨風,None,未提供,本原街二段106巷37弄6號,本原街二段106巷37弄6號,https://tainan.housetube.tw/22459
一品苑3-透天,None,61~67,光華街100號旁,光華街100號旁,https://tainan.housetube.tw/22458
一品苑3-大樓,None,位址:,社區,光華街100號旁,https://tainan.housetube.tw/22457
一品苑2,None,58~77,未提供,未提供,https://tainan.housetube.tw/22456
上院來6,None,71~79.5,台南市仁德區正義二街,台南市仁德區正義二街,https://tainan.housetube.tw/22455
RICH,None,48.2~48.7,位址:,海安路三段986號,https://tainan.housetube.tw/22451
星天地,None,位址:,…,台南市南區西門路一段333巷30號,https://tainan.housetube.tw/22448
有名堂NO.9,None,58~59,國民路93巷12弄11號,國民路93巷12弄11號,https://tainan.housetube.tw/22445
文化生活家,None,位址:,社區,台南市東區崇明四街26巷2號,https://tainan.housetube.tw/22397
荷墅,None,53.2~53.2,台南市善化區蓮潭北三街,台南市善化區蓮潭北三街,https://tainan.housetube.tw/22377
十方天闊,None,未提供,台南市安南區育安一街181號,台南市安南區育安一街181號,https://tainan.housetube.tw/22366
京都苑,None,未提供,新營區金華二路203號,新營區金華二路203號,https://tainan.housetube.tw/22314
福川吉軒,None,未提供,善化區建國路上,善化區建國路上,https://tainan.housetube.tw/22305
富康鄉墅3,None,64~70,王行路866巷19弄,王行路866巷19弄,https://tainan.housetube.tw/22304
豐拓,None,55~99,台1省道線‧佳和大營廠對面,台1省道線‧佳和大營廠對面,https://tainan.housetube.tw/22301
喜臨門,None,未提供,台南市南區永成路三段372巷51弄70號,台南市南區永成路三段372巷51弄70號,https://tainan.housetube.tw/22292
大和埕3,None,未提供,未提供,未提供,https://tainan.housetube.tw/22283
子曰-怡平,None,未提供,怡平路468巷107號,怡平路468巷107號,https://tainan.housetube.tw/22276
白京京站,None,未提供,復華六街67巷2號,復華六街67巷2號,https://tainan.housetube.tw/22263
永康ART,None,22~36,位址:,台南市永康區永二街111號,https://tainan.housetube.tw/22257
新營－都心苑,None,92~100,中正路28號(新營公所旁),中正路28號(新營公所旁),https://tainan.housetube.tw/17665
一品莊園NO.2,None,50~120,台南市關廟區保東路288巷17號,台南市關廟區保東路288巷17號,https://tainan.housetube.tw/22237
研良品,None,28.9~31.5,位址:,海佃路一段158巷108號,https://tainan.housetube.tw/22234
麒麟天下2,None,位址:,社區,永二街801號對面,https://tainan.housetube.tw/22217
一邸五期,None,156.6起,裕孝二街18號,裕孝二街18號,https://tainan.housetube.tw/22214
艾美,None,未提供,湖美街41號,湖美街41號,https://tainan.housetube.tw/22202
上萊茵,None,未提供,台南市善化區陽光北一路,台南市善化區陽光北一路,https://tainan.housetube.tw/22188
陶裡原,None,位址:,近公園,台南市東區富農街一段131巷25弄1號,https://tainan.housetube.tw/21878
科技寬庭,None,未提供,許中營22-21號,許中營22-21號,https://tainan.housetube.tw/22179
晨愛邑3,None,未提供,新市區大營里豐榮35之2號,新市區大營里豐榮35之2號,https://tainan.housetube.tw/22163
帝賦3期,None,183起,永華六街208號,永華六街208號,https://tainan.housetube.tw/18514
金品2,None,28~37,位址:,未提供,https://tainan.housetube.tw/22098
誠銳永康,None,89起,育樂街143巷22-1,育樂街143巷22-1,https://tainan.housetube.tw/22091
方澄市NO.2,None,56~73,善化國小旁,善化國小旁,https://tainan.housetube.tw/22084
億載莊園,None,135~135,郡平路460巷,郡平路460巷,https://tainan.housetube.tw/22072
喜臨門,None,53.7~63.7,台南市南區永成路三段372巷51弄70號,台南市南區永成路三段372巷51弄70號,https://tainan.housetube.tw/22069
柏霖柏林Work No.7,None,位址:,…,大同路403巷,https://tainan.housetube.tw/22056
柏霖柏林Work No.6,None,位址:,社區,光洲五街70號旁,https://tainan.housetube.tw/22055
知藝築NO.11,None,77.6起,南台街,南台街,https://tainan.housetube.tw/22031
知藝築NO.10,None,32.5起,位址:,二王路,https://tainan.housetube.tw/22030
靜觀2,None,未提供,虎尾寮裕平路259號,虎尾寮裕平路259號,https://tainan.housetube.tw/22025
蕾夢湖,None,未提供,未提供,未提供,https://tainan.housetube.tw/22016
翡麗,None,位址:,,台南市北區北成路183號,https://tainan.housetube.tw/22015
上乘No.5,None,33起,位址:,永大一路9號,https://tainan.housetube.tw/22014
上東區,None,位址:,社區,台南市東區崇德十五街63號,https://tainan.housetube.tw/22013
成大富寓2期,None,位址:,社區,開南街275巷10弄,https://tainan.housetube.tw/22008
森美術,None,130起,北成路128巷23弄10號,北成路128巷23弄10號,https://tainan.housetube.tw/22007
北揚德郡7,None,56~68,民安路二段102號,民安路二段102號,https://tainan.housetube.tw/22006
匠作,None,74起,裕義路288號,裕義路288號,https://tainan.housetube.tw/21998
鴻翌城3期,None,53~56,明興路655巷內,明興路655巷內,https://tainan.housetube.tw/21995
世界公園,None,位址:,社區,台南市南區興昌路65號,https://tainan.housetube.tw/21993
明興金華2,None,22~39,位址:,明興路6號、金華路口,https://tainan.housetube.tw/21991
上合興一品No.12,None,未提供,位址:,南雄路二段246號,https://tainan.housetube.tw/21983
上合興一品No.11,None,未提供,崙頂街150巷,崙頂街150巷,https://tainan.housetube.tw/21982
禾雅內,None,70~162,台南市仁德區德成路111號,台南市仁德區德成路111號,https://tainan.housetube.tw/21970
富水驛2,None,未提供,裕東二街,裕東二街,https://tainan.housetube.tw/21969
青逸NO.3,None,未提供,永康區永華路201巷,永康區永華路201巷,https://tainan.housetube.tw/21967
將軍福第,None,未提供,位址:,（漚汪）西華里62-62號,https://tainan.housetube.tw/21966
沐春3,None,87.4起,安中路一段560巷36弄29號,安中路一段560巷36弄29號,https://tainan.housetube.tw/21951
年年如意70期,None,51~54,安通一街72號,安通一街72號,https://tainan.housetube.tw/21940
高第16 CASA,None,位址:,社區,大智路36號旁,https://tainan.housetube.tw/21932
森晴,None,69起,富強街67巷3號,富強街67巷3號,https://tainan.housetube.tw/21922
植村墅NO.8,None,50起,陽光三路,陽光三路,https://tainan.housetube.tw/18009
梧桐,None,未提供,隋唐街 (營新醫院旁),隋唐街 (營新醫院旁),https://tainan.housetube.tw/21916
舜發富域,None,未提供,台南市新市區忠孝街90巷,台南市新市區忠孝街90巷,https://tainan.housetube.tw/21876
知築藏樂,None,188起,建平11街102號,建平11街102號,https://tainan.housetube.tw/21875
皇政NO.16,None,60~90,長溪路.長安國小,長溪路.長安國小,https://tainan.housetube.tw/21874
名佳美NO13,None,50~130,安和路6段20巷106弄20號,安和路6段20巷106弄20號,https://tainan.housetube.tw/21873
水岸原墅 NO.19,None,60~77,灣裡路650號,灣裡路650號,https://tainan.housetube.tw/21872
后花園,None,46起,位址:,善化六分寮,https://tainan.housetube.tw/21859
詠悅,None,107起,永春街13巷20號,永春街13巷20號,https://tainan.housetube.tw/21847
邰欣地堡29期,None,位址:,社區,未提供,https://tainan.housetube.tw/21838
首席NO.5,None,未提供,東興路,東興路,https://tainan.housetube.tw/21837
浪漫微風NO.13,None,76~80,未提供,未提供,https://tainan.housetube.tw/21836
好意園19期,None,34起,位址:,富安七街,https://tainan.housetube.tw/21835
好意園,None,26~28,位址:,富安路上,https://tainan.housetube.tw/21834
好意園17期,None,未提供,位址:,民權路上,https://tainan.housetube.tw/21833
集品5,None,62~72,太子路‧岳王廟對面,太子路‧岳王廟對面,https://tainan.housetube.tw/21832
淳境,None,62~85,民治路．民生路口,民治路．民生路口,https://tainan.housetube.tw/21831
荷之舞,None,54~62,東興路．東興十街路口,東興路．東興十街路口,https://tainan.housetube.tw/21829
立新家3期,None,58起,明清三街,明清三街,https://tainan.housetube.tw/21828
和風居,None,未提供,東興十街,東興十街,https://tainan.housetube.tw/21827
保宥金鑽,None,33起,位址:,東興八街16號,https://tainan.housetube.tw/21825
璽玥,None,130~145,東安街,東安街,https://tainan.housetube.tw/21824
自在‧,None,未提供,龍橋街291巷28弄1號,龍橋街291巷28弄1號,https://tainan.housetube.tw/21806
向日葵5,None,未提供,台南市永康區八德街,台南市永康區八德街,https://tainan.housetube.tw/21784
大塊先生NO.9,None,116起,光州四街53號,光州四街53號,https://tainan.housetube.tw/21761
八間堂,None,62起,公園北路88巷(中山公園.圖書館旁),公園北路88巷(中山公園.圖書館旁),https://tainan.housetube.tw/21757
智富online,None,24.5~41,位址:,永大一路.永忠路口,https://tainan.housetube.tw/21749
黎明江山,None,55起,中山路一段341號旁,中山路一段341號旁,https://tainan.housetube.tw/21736
崇善8富,None,未提供,位址:,台南市東區崇善路1100號,https://tainan.housetube.tw/21731
允成方見築,None,60.1~70.4,光文路,光文路,https://tainan.housetube.tw/21724
德和大邁,None,未提供,民權路.富安一街(7-11對面),民權路.富安一街(7-11對面),https://tainan.housetube.tw/21718
囍事連連NO.8,None,50.9~61.9,港口農會對面巷子,港口農會對面巷子,https://tainan.housetube.tw/21705
文華一品,None,位址:,社區,安平區永華八街18號,https://tainan.housetube.tw/21698
年年如意69期,None,未提供,寶發路202號旁,寶發路202號旁,https://tainan.housetube.tw/21695
村上春墅,None,50~63,台南市鹽水區武廟路,台南市鹽水區武廟路,https://tainan.housetube.tw/21693
國泰文林硯,None,位址:,社區,台南市北區海安路三段868號,https://tainan.housetube.tw/21687
墅天空,None,55~66,太子路128號轉,太子路128號轉,https://tainan.housetube.tw/21679
香榭2,None,52~65,胡厝寮26-19號,胡厝寮26-19號,https://tainan.housetube.tw/21146
品陽大苑-東區之王,None,位址:,社區,富農街一段188巷26弄18號,https://tainan.housetube.tw/21671
新東巨星18期,None,72~72,東興路,東興路,https://tainan.housetube.tw/21670
邰欣地堡27期,None,位址:,,自由路轉德昌路,https://tainan.housetube.tw/21667
藍田苑VIII,None,未提供,國光六街106號,國光六街106號,https://tainan.housetube.tw/21664
天母公園,None,60~69,正新南路,正新南路,https://tainan.housetube.tw/21658
陽光富御,None,64起,台南市善化區陽光三路28巷1號,台南市善化區陽光三路28巷1號,https://tainan.housetube.tw/21657
晴墅,None,61.3~63.1,民權路上,民權路上,https://tainan.housetube.tw/21647
聚富大道,None,39~51,位址:,十美街．中山西路一段（柳營火車站旁）,https://tainan.housetube.tw/21641
元昱安平,None,未提供,位址:,民權路四段560號,https://tainan.housetube.tw/21639
凌波揚,None,位址:,社區,台南市中西區華平路982號,https://tainan.housetube.tw/20745
瞱俊大灣賞3,None,59~60,大安街,大安街,https://tainan.housetube.tw/21635
福川庭宇,None,50~56,同安寮,同安寮,https://tainan.housetube.tw/21598
遠奏曲,None,位址:,近公園,台南市安平區國平南路96號,https://tainan.housetube.tw/21575
尚暘天聚,None,位址:,社區,健康路三段700號,https://tainan.housetube.tw/21574
歐香公園NO.16,None,未提供,位址:,未提供,https://tainan.housetube.tw/21567
夢巴里3.0,None,72~117,陽光大道177號,陽光大道177號,https://tainan.housetube.tw/21526
MOMA 3,None,75~96,未提供,未提供,https://tainan.housetube.tw/21522
璽上居No.6,None,54.1起,進學路250巷20號,進學路250巷20號,https://tainan.housetube.tw/21518
巨盈年代,None,位址:,社區,未提供,https://tainan.housetube.tw/21492
舜之觀,None,位址:,社區,台南市東區裕文一街88號,https://tainan.housetube.tw/21491
邰欣地堡28期,None,59~70,民生路97號旁,民生路97號旁,https://tainan.housetube.tw/21485
大謙,None,未提供,安平路500巷36號,安平路500巷36號,https://tainan.housetube.tw/21398
鼎立新東,None,35~40,位址:,東興路與東興四街口,https://tainan.housetube.tw/21375
De HAUS,None,位址:,社區,台南市安南區館前二路180號,https://tainan.housetube.tw/21354
市中市,None,33.5起,位址:,永大路2段677巷11號,https://tainan.housetube.tw/21340
子曰No.11,None,未提供,文成路333號,文成路333號,https://tainan.housetube.tw/21337
宜田富都,None,32~37,位址:,台南市仁德區中正西路61號,https://tainan.housetube.tw/21331
隨意山居,"1,200~1,500萬",位址:,社區,未提供,https://tainan.housetube.tw/21326
慕夏森林,"1,200~1,500萬",35起,位址:,佳北路303號,https://tainan.housetube.tw/21319
松上苑,"1,200~1,500萬",70~110,海中街774巷38號(安南國中旁),海中街774巷38號(安南國中旁),https://tainan.housetube.tw/24343
崇品,"1,200~1,500萬",未提供,台南市仁德區德崙路106號,台南市仁德區德崙路106號,https://tainan.housetube.tw/21281
公爵,"1,200~1,500萬",25.4起,位址:,台南市永康區富強路一段71號,https://tainan.housetube.tw/21279
林語堂13,"1,200~1,500萬",107起,育德2路497號,育德2路497號,https://tainan.housetube.tw/21278
林語堂12,"1,200~1,500萬",106起,育南街58號,育南街58號,https://tainan.housetube.tw/21277
林語堂10,"1,200~1,500萬",131起,永南街47號,永南街47號,https://tainan.housetube.tw/21276
建案測試11,"1,200~1,500萬",60~90,未提供,未提供,https://tainan.housetube.tw/22521
涵碧館NO.6,None,61.7起,長溪路三段‧長安國小前,長溪路三段‧長安國小前,https://tainan.housetube.tw/21237
大璽御品,None,129起,文賢三街241號,文賢三街241號,https://tainan.housetube.tw/21228
悅樹,None,106起,義林12街150號,義林12街150號,https://tainan.housetube.tw/21218
駅前千利修,None,60~70,台南市中西區衛民街95號,台南市中西區衛民街95號,https://tainan.housetube.tw/21214
黃金六甲,None,46.9~66,民權街,民權街,https://tainan.housetube.tw/21211
仁之美,None,49~55,台南市仁德區德善路305巷13弄213號,台南市仁德區德善路305巷13弄213號,https://tainan.housetube.tw/21210
騰揮會館2,None,位址:,社區,新和社內重劃區[富中街],https://tainan.housetube.tw/21199
水御堂2,None,111起,中山南路43巷,中山南路43巷,https://tainan.housetube.tw/21198
夏林天母2,None,未提供,未提供,未提供,https://tainan.housetube.tw/21188
南科上居,None,未提供,山上區山上郵局、山上國小旁,山上區山上郵局、山上國小旁,https://tainan.housetube.tw/21181
朗格,None,127~137,安和路五段171巷77號&79號,安和路五段171巷77號&79號,https://tainan.housetube.tw/21180
首馥,None,26~35,位址:,三官路21號,https://tainan.housetube.tw/21179
棲霞居NO.2,None,147起,裕義路640號,裕義路640號,https://tainan.housetube.tw/21151
大野,None,200~260,民德路90巷103號,民德路90巷103號,https://tainan.housetube.tw/21150
星展首悅,None,21~27,位址:,台南市安南區本淵路99號,https://tainan.housetube.tw/21148
貝森朵夫NO.2,None,51~60,善化夜市旁,善化夜市旁,https://tainan.housetube.tw/21145
裕敬,None,35.8起,位址:,未提供,https://tainan.housetube.tw/21144
清庭,None,68起,裕誠街293號,裕誠街293號,https://tainan.housetube.tw/21143
公園寶城2,None,117~124,台南市永康區永春街36巷39號,台南市永康區永春街36巷39號,https://tainan.housetube.tw/21137
皆大歡喜NO.28,None,未提供,中正路(國稅局對面),中正路(國稅局對面),https://tainan.housetube.tw/21136
傳家帝標,None,50,位址:,新生南路、民權路口,https://tainan.housetube.tw/21134
左岸美墅,None,72起,中榮里38之46號,中榮里38之46號,https://tainan.housetube.tw/21133
A+以林為居,None,210起,裕和二街20號,裕和二街20號,https://tainan.housetube.tw/21132
史尚最美,None,67起,中榮里許中營38之9號,中榮里許中營38之9號,https://tainan.housetube.tw/21131
春池LM,None,位址:,社區,龍目井路88號,https://tainan.housetube.tw/21130
邑墅家5期,None,74.9起,功安一街132號,功安一街132號,https://tainan.housetube.tw/21113
府前名店,None,39.9~39.9,位址:,府前路二段552號,https://tainan.housetube.tw/21111
信美興隆,None,32~43,位址:,興隆路61號,https://tainan.housetube.tw/21110
宗駿觀心,None,47~49.4,中山路一段335號,中山路一段335號,https://tainan.housetube.tw/21098
隋唐風範,None,30~48,位址:,隋唐街(民雄海產旁對面),https://tainan.housetube.tw/21096
幸福100 NO.7,None,28起,位址:,隆本里中山路二段112-1號,https://tainan.housetube.tw/21093
祥福居3,None,56~77,竹園二街171號,竹園二街171號,https://tainan.housetube.tw/21092
金華晶華,None,171起,金華路一段503巷17號,金華路一段503巷17號,https://tainan.housetube.tw/21087
子曰No.15,None,未提供,建平四街5號,建平四街5號,https://tainan.housetube.tw/21082
京彩,None,45~56,佳南路.勝利路口,佳南路.勝利路口,https://tainan.housetube.tw/21081
勝利藏富,None,91~150,台南市東區長榮路二段,台南市東區長榮路二段,https://tainan.housetube.tw/21080
誠銳玉井,None,31起,位址:,民權路115號,https://tainan.housetube.tw/21076
吉緣城NO.6,None,60起,安定區新吉里96-1號,安定區新吉里96-1號,https://tainan.housetube.tw/21075
居賢,None,未提供,湖美一街169號,湖美一街169號,https://tainan.housetube.tw/21074
御璽名邸2,None,29起,位址:,大民街53號,https://tainan.housetube.tw/21073
富裕人生NO.7,None,53~60,安中一街116號,安中一街116號,https://tainan.housetube.tw/21068
親海怡居,None,80起,灣裡路263巷61弄2-2號,灣裡路263巷61弄2-2號,https://tainan.housetube.tw/21067
鹽水第一新城,None,67.5~112.8,鹽水區土庫水秀里69-30~48號,鹽水區土庫水秀里69-30~48號,https://tainan.housetube.tw/21064
新宿,None,160起,台南市新營區長榮路(祥豐汽車材料旁),台南市新營區長榮路(祥豐汽車材料旁),https://tainan.housetube.tw/21056
龍舜東方,None,位址:,社區,台南市永康區永華路558號,https://tainan.housetube.tw/21051
星玥首璽,None,75~77,民權路28號,民權路28號,https://tainan.housetube.tw/21037
南科小鎮,None,47~54,未提供,未提供,https://tainan.housetube.tw/21035
植冨生,None,56~77,城西街一段61巷112弄19號,城西街一段61巷112弄19號,https://tainan.housetube.tw/21032
太子春風,None,61起,新太路5號,新太路5號,https://tainan.housetube.tw/21025
有情墅,None,57~62,秦漢街59-2號,秦漢街59-2號,https://tainan.housetube.tw/21024
永康風采,None,63~73,永大路3段48號,永大路3段48號,https://tainan.housetube.tw/21022
富利旺好店住,None,22.3起,位址:,大順二街,https://tainan.housetube.tw/21018
賢者居,None,71.4起,文賢路572巷,文賢路572巷,https://tainan.housetube.tw/21016
草風堂6,None,未提供,仁和路139巷1號,仁和路139巷1號,https://tainan.housetube.tw/20996
明清家園,None,59~66,明清街25號對面,明清街25號對面,https://tainan.housetube.tw/20981
